    0.10000E-03    0.16891E+03
    0.10202E-03    0.17219E+03
    0.10408E-03    0.17554E+03
    0.10618E-03    0.17895E+03
    0.10833E-03    0.18242E+03
    0.11052E-03    0.18597E+03
    0.11275E-03    0.18958E+03
    0.11503E-03    0.19326E+03
    0.11735E-03    0.19702E+03
    0.11972E-03    0.20084E+03
    0.12214E-03    0.20474E+03
    0.12461E-03    0.20872E+03
    0.12712E-03    0.21277E+03
    0.12969E-03    0.21690E+03
    0.13231E-03    0.22112E+03
    0.13499E-03    0.22541E+03
    0.13771E-03    0.22979E+03
    0.14049E-03    0.23425E+03
    0.14333E-03    0.23880E+03
    0.14623E-03    0.24343E+03
    0.14918E-03    0.24816E+03
    0.15220E-03    0.25298E+03
    0.15527E-03    0.25789E+03
    0.15841E-03    0.26290E+03
    0.16161E-03    0.26800E+03
    0.16487E-03    0.27320E+03
    0.16820E-03    0.27850E+03
    0.17160E-03    0.28391E+03
    0.17507E-03    0.28942E+03
    0.17860E-03    0.29504E+03
    0.18221E-03    0.30076E+03
    0.18589E-03    0.30660E+03
    0.18965E-03    0.31255E+03
    0.19348E-03    0.31861E+03
    0.19739E-03    0.32479E+03
    0.20138E-03    0.33109E+03
    0.20544E-03    0.33752E+03
    0.20959E-03    0.34406E+03
    0.21383E-03    0.35074E+03
    0.21815E-03    0.35754E+03
    0.22255E-03    0.36447E+03
    0.22705E-03    0.37154E+03
    0.23164E-03    0.37874E+03
    0.23632E-03    0.38608E+03
    0.24109E-03    0.39357E+03
    0.24596E-03    0.40120E+03
    0.25093E-03    0.40897E+03
    0.25600E-03    0.41690E+03
    0.26117E-03    0.42497E+03
    0.26645E-03    0.43321E+03
    0.27183E-03    0.44160E+03
    0.27732E-03    0.45015E+03
    0.28292E-03    0.45887E+03
    0.28864E-03    0.46776E+03
    0.29447E-03    0.47681E+03
    0.30042E-03    0.48604E+03
    0.30649E-03    0.49545E+03
    0.31268E-03    0.50504E+03
    0.31899E-03    0.51481E+03
    0.32544E-03    0.52477E+03
    0.33201E-03    0.53492E+03
    0.33872E-03    0.54526E+03
    0.34556E-03    0.55581E+03
    0.35254E-03    0.56655E+03
    0.35966E-03    0.57750E+03
    0.36693E-03    0.58866E+03
    0.37434E-03    0.60003E+03
    0.38190E-03    0.61162E+03
    0.38962E-03    0.62343E+03
    0.39749E-03    0.63546E+03
    0.40552E-03    0.64773E+03
    0.41371E-03    0.66023E+03
    0.42207E-03    0.67296E+03
    0.43060E-03    0.68594E+03
    0.43929E-03    0.69916E+03
    0.44817E-03    0.71263E+03
    0.45722E-03    0.72636E+03
    0.46646E-03    0.74035E+03
    0.47588E-03    0.75460E+03
    0.48550E-03    0.76913E+03
    0.49530E-03    0.78392E+03
    0.50531E-03    0.79900E+03
    0.51552E-03    0.81436E+03
    0.52593E-03    0.83001E+03
    0.53656E-03    0.84595E+03
    0.54739E-03    0.86219E+03
    0.55845E-03    0.87873E+03
    0.56973E-03    0.89559E+03
    0.58124E-03    0.91276E+03
    0.59299E-03    0.93025E+03
    0.60496E-03    0.94806E+03
